nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
NARCISO RODRIGUEZ FOR HER MUSC NOIR EDP,,50ml | 100ml | 150ml,$265.000,,"La nueva fragancia de Narciso Rodriguez, For Her Musc Noir, es un tributo a la poderosa mística de la belleza interior de la mujer y su sensualidad innata. For Her: Musc Noir realza la naturaleza adictiva presente en For Heer con una exploración de los aspectos más orcurso e intensos del musc carecterístico de Narciso Rodriguez.",4564,https://www.rp-luxury.com/es/fragancias-femeninas/4564-2704-narciso-rodriguez-for-her-musc-noir-edp-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4564.jpg
GUERLAIN MON GUERLAIN SPARKLING BOUQUET EDP,,50ml | 100ml,$161.000,$230.000,"Mon Guerlain Sparkling Bouquet es una fragancia radiante semejante a una sonrisa resplandeciente, donde el imprescindible dúo lavanda-vainilla se ve sublimado por una nota de pera chispeante y de jazmín Sambac luminoso. Una estela oriental fresca, afrutada y cautivadora, con un encanto magnético. El perfume Mon Guerlain se presenta en su frasco ""Quadrilobé"", que juega con los contrastes combinando la fuerza de las líneas rectas con la sensualidad de las curvas, todo un símbolo de las múltiples facetas de la feminidad. Ahora, se sublima con un lujoso cuerpo de cristal y un anillo de plata centelleante, que se reinventa con un pavimentado ""Quadrilobé"", como si de una valiosa joya se tratara. Mon Guerlain es un manifiesto perfumado de la feminidad contemporánea. Una mujer con múltiples facetas: fuerte, libre y sensual inspirada por Angelina Jolie. Con Sparkling Bouquet, Mon Guerlain continúa su exploración de las múltiples facetas de la feminidad con una oda a la positividad. Es el aura de una mujer resplandeciente, cuya sonrisa ilumina el mundo. Mi insignia, mi perfume, Mon Guerlain.",4675,https://www.rp-luxury.com/es/oportuluxury/4675-2788-guerlain-mon-guerlain-sparkling-bouquet-edp-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4675.jpg
DOLCE & GABBANA POUR FEMME INTENSE EDP 100 Ml,,100ml,$331.000,,"Dolce&Gabbana Intense es una fuerte alquimia de refinados contrastes fuertemente adictivos. Primero apareció Pour Femme: el clásico perfume que encarna en una fragancia las armonías y los contrastes del ADN de Dolce&Gabbana. Lo tradicional y lo contemporáneo, lo pasional y lo maternal, lo espiritual y lo sensual: en este mundo, todo converge con una síntesis perfecta inequívocamente Dolce&Gabbana. Ahora, Domenico Dolce y Stefano Gabbana muestran estos valores en su forma más potente, con el nuevo Dolce&Gabbana Intense. “En lo profundo del alma de la mujer Dolce&Gabbana yace una gran fuerza: un poder y una pasión voluptuosa en intensidad. Los momentos en los que se enciende esta fuerza, son momentos Intense”, afirman Domenico Dolce y Stefano Gabbana",4674,https://www.rp-luxury.com/es/fragancias-femeninas/4674-4064-dolce-gabbana-pour-femme-intense-edp-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4674.jpg
YVES SAINT LAURENT LIBRE EAU DE PARFUM INTENSE,,30ml | 50ml | 90ml,$439.000,,"LIBRE significa gratis. Es una celebración de la libertad: una fragancia para quienes hacen lo que quieren y se atreven a ser exactamente quienes son. Inspirándose en las pasarelas de alta costura, la botella IT lleva su declaración de alta costura más allá con un color camel masculino retorcido de la manera más femenina, amplificando la intensidad de la botella original.",4657,https://www.rp-luxury.com/es/fragancias-femeninas/4657-2779-yves-saint-laurent-libre-eau-de-parfum-intense.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4657.jpg
VERSACE YELLOW DIAMOND INTENSE EDP,,30ml | 50ml,$136.500,$195.000,"Puro como la luz del sol, un matiz brillante extraordinario que se irradia con una intensidad ardiente, brillando de la manera que solo un diamante puede. Pura sensualidad, transparencia pura, luz pura: una vez más, una auténtica joya de rara belleza revelada en un perfume floral fresco y vivo. Una nueva, cautivadora y voluptuosa fragancia de verdadera feminidad, confiada en su encanto, en armonía con el inconfundible glamour de Versace.",4642,https://www.rp-luxury.com/es/fragancias-femeninas/4642-6749-versace-yellow-diamond-intense-edp.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4642.jpg
HERMES EAU DES MERVEILLES EAU DE TOILETTE 100 Ml,,100ml,$244.300,$349.000,"LA CREACIÓN Creado por los perfumistas Ralf Schwieger y Nathalie Feisthauer, el Eau de toilette Eau des Merveilles es una puerta abierta a las maravillas de Hermès. Un mundo en el que lo extraordinario se revela con una lluvia de estrellas a plena luz del día.",4636,https://www.rp-luxury.com/es/fragancias-femeninas/4636-6741-hermes-eau-des-merveilles-eau-de-toilette-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4636.jpg
DOLCE & GABBANA THE ONE EDP INTENSE,,75ml,$338.000,,"Dolce&Gabbana The One Eau de Parfum Intense encarna una feminidad audaz. Su firma olfativa juega con contrastes refinados, fusionando la fuerza de notas intensas y luminosas con la suavidad de acordes más delicados, para dar vida a una composición sofisticada y elegante que deja una estela inolvidable.",4631,https://www.rp-luxury.com/es/fragancias-femeninas/4631-6813-dolce-gabbana-the-one-edp-intense.html#/27-talla-75ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4631.jpg
VERSACE DYLAN TURQUOISE EAU DE TOILETTE,,30ml | 50ml | 100ml,$167.000,,Escapando hacia islas lejanas donde el cielo azul se encuentra con aguas cristalinas. La brisa marina acaricia la piel despertando los sentidos y regenerando el alma. Una fragancia que recuerda el sol cálido y los días de verano. Dylan Turquoise es una oda a la sensualidad de la mujer de Versace.,4568,https://www.rp-luxury.com/es/fragancias-femeninas/4568-2710-versace-dylan-turquoise-eau-de-toilette-.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4568.jpg
LOLITA LEMPICKA MON EAU EAU DE PARFUM,,30ml | 50ml,$89.530,$127.900,"¡La estimulante frescura! Mon Eau es una fragancia floral afrutada, con un halo de gracia, que te hace la boca agua. Mon Eau se desarrolla con el mayor respeto por tu piel. La fragancia está libre de colorantes, filtros solares y disruptores endocrinos.",4566,https://www.rp-luxury.com/es/oportuluxury/4566-2706-lolita-lempicka-mon-eau-eau-de-parfum-.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4566.jpg
ISSEY MIYAKE A DROP D'ISSEY EAU DE PARFUM,,30ml | 50ml | 90ml,$286.000,,"Para una gota de Issey, el perfumista imaginó una lila moderna, una fragancia floral con mucho cuerpo en la intersección de la naturaleza y la tecnología.",,https://www.rp-luxury.com/es/fragancias-femeninas/4563-2785-issey-miyake-a-drop-d-issey-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_-2565236908166623286.jpg
